City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,mizdah,31.4451,12.9801,17.67,62,1,2.3,LY,1730339737
131,dzuunharaa,48.8523,106.4579,0.19,84,97,1.49,MN,1730339738
132,qarazhal,48.0078,70.7903,4.35,95,100,9.64,KZ,1730339739
133,tanjung pinang,0.9167,104.45,30.47,60,99,3.02,ID,1730339740
134,kodiak,57.79,-152.4072,6.73,61,0,2.57,US,1730339741
135,miri,4.4148,114.0089,29.08,84,40,0.0,MY,1730339743
136,vadso,70.0744,29.7487,-1.91,80,20,7.72,NO,1730339744
137,tiksi,71.6872,128.8694,-23.89,100,79,1.55,RU,1730339745
138,ancud,-41.8697,-73.8203,9.35,95,6,2.48,CL,1730339746
139,thompson,55.7435,-97.8558,-4.91,58,0,3.09,CA,1730339747
140,vilyuysk,63.7553,121.6247,-20.46,95,89,0.04,RU,1730339748
141,fale old settlement,-9.3852,-171.2468,28.59,71,99,6.52,TK,1730339750
142,lashio,22.9333,97.75,21.98,75,90,0.43,MM,1730339751
143,guerrero negro,27.9769,-114.0611,17.26,69,0,4.82,MX,1730339752
144,broken hill,-31.95,141.4333,23.69,33,58,5.14,AU,1730339753
145,mahajanga,-15.7167,46.3167,26.01,57,20,3.09,MG,1730339754
146,port moresby,-9.4431,147.1797,30.68,62,40,3.6,PG,1730339755
147,west island,-12.1568,96.8225,27.99,74,20,4.63,CC,1730339757
148,belyy yar,53.6039,91.3903,1.94,75,0,6.0,RU,1730339758
149,clanton,32.8387,-86.6294,19.83,88,100,3.57,US,1730339759
150,tommot,58.9564,126.2925,-10.74,84,99,0.45,RU,1730339760
151,kencong,-8.2833,113.3667,29.52,65,31,1.86,ID,1730339761
152,sompeta,18.9333,84.6,25.88,79,4,0.95,IN,1730339762
153,bantay,17.5847,120.3892,26.84,83,100,6.57,PH,1730339764
154,yuzhno-kurilsk,44.0306,145.8556,10.51,61,9,8.77,RU,1730339766
155,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,33,20,7.0,RU,1730339739
156,vernon,50.2581,-119.2691,8.75,64,100,3.6,CA,1730339768
157,praia da vitoria,38.7333,-27.0667,19.14,88,40,5.11,PT,1730339769
158,ust-nera,64.5667,143.2,-18.45,96,98,2.09,RU,1730339770
159,faya-largeau,17.9257,19.1043,21.37,28,3,8.0,TD,1730339771
160,ad-damazin,11.7891,34.3592,24.16,81,66,2.8,SD,1730339773
161,port sudan,19.6175,37.2164,29.32,75,0,3.12,SD,1730339774
162,vilyuchinsk,52.9306,158.4028,4.15,61,12,11.73,RU,1730339775
163,lebu,-37.6167,-73.65,11.03,96,51,4.21,CL,1730339776
164,viedma,-40.8135,-62.9967,19.68,75,100,3.93,AR,1730339777
165,asyqata,40.8994,68.3611,9.25,61,8,1.06,KZ,1730339778
166,georgetown,5.4112,100.3354,27.97,74,20,2.68,MY,1730339779
167,zeya,53.75,127.2667,-1.36,66,100,0.78,RU,1730339781
168,san andres,12.5847,-81.7006,27.01,83,20,2.57,CO,1730339782
169,acarau,-2.8856,-40.12,25.36,78,39,6.71,BR,1730339783
170,povolzhskiy,53.5854,49.7629,2.79,79,88,6.28,RU,1730339784
171,zhengjiatun,43.5064,123.5064,12.14,56,82,5.92,CN,1730339785
172,polyarnyy,69.1989,33.4478,1.28,79,100,8.15,RU,1730339786
173,olyokminsk,60.3736,120.4264,-9.52,86,100,0.69,RU,1730339788
174,utrik,11.2278,169.8474,28.45,77,100,5.87,MH,1730339789
175,crane,31.3974,-102.3501,22.22,24,8,6.04,US,1730339790
176,kamaishi,39.2667,141.8833,16.63,53,27,0.72,JP,1730339791
177,taungoo,18.9333,96.4333,25.09,88,18,1.1,MM,1730339792
178,morogoro,-6.8167,37.6667,21.09,93,100,0.61,TZ,1730339793
179,bengkulu,-3.8004,102.2655,27.42,77,37,0.67,ID,1730339795
180,kapuskasing,49.4169,-82.4331,5.05,100,100,4.63,CA,1730339796
181,cill airne,52.05,-9.5167,12.28,84,100,0.99,IE,1730339797
182,contai,21.7786,87.7536,26.62,86,5,3.03,IN,1730339798
183,malabar,-33.9667,151.25,23.96,60,0,6.69,AU,1730339799
184,jalai nur,49.45,117.7,4.89,70,100,6.51,CN,1730339800
185,whitehorse,60.7161,-135.0538,-3.32,92,100,1.54,CA,1730339578
186,pizarro,4.9533,-77.366,24.56,88,100,1.13,CO,1730339804
